% Model,SiO2ring1900to2000_SiO2_height160nm.mph,
% Version,COMSOL 5.4.0.388,
% Date,"Sep 6 2019, 14:39",
% Table,Table 4 - ,
% dist,r,"Electric potential (V), Point: (0, 0)"
0.142,-1.36,0.143291796
0.142,-1.38,0.143294161
0.142,-1.4,0.143296936
0.142,-1.42,0.14330004
0.142,-1.44,0.143301471
0.142,-1.46,0.143301936
0.142,-1.48,0.143303032
0.142,-1.5,0.143301637
0.142,-1.52,0.143298682
0.142,-1.54,0.143294876
0.142,-1.56,0.143292997
0.142,-1.58,0.143285153
0.142,-1.6,0.14327717
0.142,-1.62,0.143268611
0.142,-1.64,0.143256245
0.142,-1.66,0.143239005
0.142,-1.68,0.143217007
0.142,-1.7,0.14318721
0.142,-1.72,0.143153687
0.142,-1.74,0.143108777
0.142,-1.76,0.143048601
0.142,-1.78,0.142970037
0.142,-1.8,0.142873604
0.142,-1.82,0.142745375
0.142,-1.84,0.142585959
0.142,-1.86,0.142394221
0.142,-1.88,0.142188837
0.142,-1.9,0.141996398
0.142,-1.92,0.141855697
0.142,-1.94,0.141781917
0.142,-1.96,0.141788811
0.142,-1.98,0.141869887
0.142,-2,0.142020797
0.142,-2.02,0.142216545
0.142,-2.04,0.142428117
0.144,0,0.139876283
0.144,-0.02,0.139881966
0.144,-0.04,0.139892599
0.144,-0.06,0.139908781
0.144,-0.08,0.139923196
0.144,-0.1,0.139931834
0.144,-0.12,0.139932793
0.144,-0.14,0.139931694
0.144,-0.16,0.139924736
0.144,-0.18,0.139921207
0.144,-0.2,0.139916744
0.144,-0.22,0.13991702
0.144,-0.24,0.139924145
0.144,-0.26,0.139935237
0.144,-0.28,0.139954789
0.144,-0.3,0.139981218
0.144,-0.32,0.140017487
0.144,-0.34,0.140065598
0.144,-0.36,0.140125094
0.144,-0.38,0.140198232
0.144,-0.4,0.14029183
0.144,-0.42,0.14040733
0.144,-0.44,0.140537653
0.144,-0.46,0.140692369
0.144,-0.48,0.140855011
0.144,-0.5,0.141032126
0.144,-0.52,0.141207243
0.144,-0.54,0.141385354
0.144,-0.56,0.141555638
0.144,-0.58,0.141713129
0.144,-0.6,0.141864623
0.144,-0.62,0.141998846
0.144,-0.64,0.142121334
0.144,-0.66,0.142234276
0.144,-0.68,0.142335218
0.144,-0.7,0.142426857
0.144,-0.72,0.142509327
0.144,-0.74,0.1425857
0.144,-0.76,0.142650247
0.144,-0.78,0.142710303
0.144,-0.8,0.14276705
0.144,-0.82,0.14281699
0.144,-0.84,0.142860706
0.144,-0.86,0.142902245
0.144,-0.88,0.142937011
0.144,-0.9,0.142971977
0.144,-0.92,0.143001022
0.144,-0.94,0.143031544
0.144,-0.96,0.143056306
0.144,-0.98,0.143077453
0.144,-1,0.14310051
0.144,-1.02,0.143118738
0.144,-1.04,0.143139603
0.144,-1.06,0.143155183
0.144,-1.08,0.143170718
0.144,-1.1,0.143184529
0.144,-1.12,0.1431981
0.144,-1.14,0.143211296
0.144,-1.16,0.143219791
0.144,-1.18,0.143231141
0.144,-1.2,0.143237882
0.144,-1.22,0.143249211
0.144,-1.24,0.143256927
0.144,-1.26,0.143264917
0.144,-1.28,0.143271355
0.144,-1.3,0.143276818
0.144,-1.32,0.143281597
0.144,-1.34,0.143287912
0.144,-1.36,0.1432924
0.144,-1.38,0.143293729
0.144,-1.4,0.143295746
0.144,-1.42,0.143298694
0.144,-1.44,0.143303736
0.144,-1.46,0.143302374
0.144,-1.48,0.143302468
0.144,-1.5,0.143303177
0.144,-1.52,0.14329997
0.144,-1.54,0.143296982
0.144,-1.56,0.143292968
0.144,-1.58,0.143286621
0.144,-1.6,0.143278356
0.144,-1.62,0.143268095
0.144,-1.64,0.14325538
0.144,-1.66,0.143238017
0.144,-1.68,0.143217778
0.144,-1.7,0.143190193
0.144,-1.72,0.143156172
0.144,-1.74,0.143112314
0.144,-1.76,0.143054255
0.144,-1.78,0.142977675
0.144,-1.8,0.142881375
0.144,-1.82,0.142759288
0.144,-1.84,0.14260825
0.144,-1.86,0.142426081
0.144,-1.88,0.142233651
0.144,-1.9,0.14205507
0.144,-1.92,0.141922266
0.144,-1.94,0.141855612
0.144,-1.96,0.141859984
0.144,-1.98,0.141934972
0.144,-2,0.142075105
0.144,-2.02,0.142262526
0.144,-2.04,0.142459778
0.146,0,0.139926558
0.146,-0.02,0.139929886
0.146,-0.04,0.139942829
0.146,-0.06,0.139954542
0.146,-0.08,0.139969976
0.146,-0.1,0.139976692
0.146,-0.12,0.139980001
0.146,-0.14,0.13997836
0.146,-0.16,0.139972292
0.146,-0.18,0.13996689
0.146,-0.2,0.139964508
0.146,-0.22,0.139966747
0.146,-0.24,0.139972071
0.146,-0.26,0.139984942
0.146,-0.28,0.140002999
0.146,-0.3,0.140030204
0.146,-0.32,0.140064918
0.146,-0.34,0.14011212
0.146,-0.36,0.140173338
0.146,-0.38,0.140247791
0.146,-0.4,0.140338826
0.146,-0.42,0.140450912
0.146,-0.44,0.140578196
0.146,-0.46,0.140730312
0.146,-0.48,0.140892012
0.146,-0.5,0.141061925
0.146,-0.52,0.14123611
0.146,-0.54,0.141406538
0.146,-0.56,0.141571141
0.146,-0.58,0.141730197
0.146,-0.6,0.141874791
0.146,-0.62,0.142008272
0.146,-0.64,0.142129439
0.146,-0.66,0.142241566
0.146,-0.68,0.142342095
0.146,-0.7,0.142432057
0.146,-0.72,0.142514925
0.146,-0.74,0.142588938
0.146,-0.76,0.142654198
0.146,-0.78,0.142714317
0.146,-0.8,0.142767435
0.146,-0.82,0.142818089
0.146,-0.84,0.142862319
0.146,-0.86,0.142901022
0.146,-0.88,0.142938928
0.146,-0.9,0.142973102
0.146,-0.92,0.143001403
0.146,-0.94,0.143030948
0.146,-0.96,0.143055551
0.146,-0.98,0.143080531
0.146,-1,0.143100237
0.146,-1.02,0.143121169
0.146,-1.04,0.143139979
0.146,-1.06,0.143156224
0.146,-1.08,0.143171333
0.146,-1.1,0.143184094
0.146,-1.12,0.143196757
0.146,-1.14,0.143208239
0.146,-1.16,0.143222379
0.146,-1.18,0.143231941
0.146,-1.2,0.143240205
0.146,-1.22,0.143250044
0.146,-1.24,0.143255613
0.146,-1.26,0.143263434
0.146,-1.28,0.143270443
0.146,-1.3,0.143278292
0.146,-1.32,0.143280964
0.146,-1.34,0.143286205
0.146,-1.36,0.143290922
0.146,-1.38,0.143294901
0.146,-1.4,0.143296271
0.146,-1.42,0.143300948
0.146,-1.44,0.143302133
0.146,-1.46,0.143301772
0.146,-1.48,0.143301801
0.146,-1.5,0.143303101
0.146,-1.52,0.14330229
0.146,-1.54,0.143297125
0.146,-1.56,0.143294725
0.146,-1.58,0.14328863
0.146,-1.6,0.143280006
0.146,-1.62,0.143270243
0.146,-1.64,0.143255713
0.146,-1.66,0.143240535
0.146,-1.68,0.143217859
0.146,-1.7,0.143190485
0.146,-1.72,0.143159002
0.146,-1.74,0.143114279
0.146,-1.76,0.143058617
0.146,-1.78,0.142985821
0.146,-1.8,0.142894302
0.146,-1.82,0.142773478
0.146,-1.84,0.142627021
0.146,-1.86,0.142458302
0.146,-1.88,0.142273251
0.146,-1.9,0.142105447
0.146,-1.92,0.141982985
0.146,-1.94,0.141922395
0.146,-1.96,0.141927323
0.146,-1.98,0.141997673
0.146,-2,0.142129256
0.146,-2.02,0.142304794
0.146,-2.04,0.142489209
0.148,0,0.139973205
0.148,-0.02,0.139978694
0.148,-0.04,0.139988181
0.148,-0.06,0.140000731
0.148,-0.08,0.140014395
0.148,-0.1,0.140021462
0.148,-0.12,0.140024103
0.148,-0.14,0.14002178
0.148,-0.16,0.140016996
0.148,-0.18,0.14001223
0.148,-0.2,0.14000947
0.148,-0.22,0.140012028
0.148,-0.24,0.140019253
0.148,-0.26,0.140032836
0.148,-0.28,0.140050191
0.148,-0.3,0.140078505
0.148,-0.32,0.140113354
0.148,-0.34,0.140160089
0.148,-0.36,0.140219197
0.148,-0.38,0.140294134
0.148,-0.4,0.140384428
0.148,-0.42,0.140494404
0.148,-0.44,0.140623768
0.148,-0.46,0.140767595
0.148,-0.48,0.140923043
0.148,-0.5,0.141090578
0.148,-0.52,0.141261489
0.148,-0.54,0.141430145
0.148,-0.56,0.141589204
0.148,-0.58,0.141743204
0.148,-0.6,0.141888634
0.148,-0.62,0.142020033
0.148,-0.64,0.142138326
0.148,-0.66,0.142250634
0.148,-0.68,0.142349065
0.148,-0.7,0.14243868
0.148,-0.72,0.142520623
0.148,-0.74,0.142592618
0.148,-0.76,0.142657533
0.148,-0.78,0.142717138
0.148,-0.8,0.14277194
0.148,-0.82,0.142820381
0.148,-0.84,0.142864319
0.148,-0.86,0.142904153
0.148,-0.88,0.142939246
0.148,-0.9,0.142973237
0.148,-0.92,0.143005335
0.148,-0.94,0.143032442
0.148,-0.96,0.143057435
0.148,-0.98,0.143082741
0.148,-1,0.143101718
0.148,-1.02,0.143120087
0.148,-1.04,0.14313839
0.148,-1.06,0.143154815
0.148,-1.08,0.143169416
0.148,-1.1,0.14318642
0.148,-1.12,0.14319781
0.148,-1.14,0.143210919
0.148,-1.16,0.143220639
0.148,-1.18,0.143232132
0.148,-1.2,0.143241466
0.148,-1.22,0.143249994
0.148,-1.24,0.143257156
0.148,-1.26,0.143264664
0.148,-1.28,0.143271261
0.148,-1.3,0.143276813
0.148,-1.32,0.143282276
0.148,-1.34,0.143286127
0.148,-1.36,0.14329172
0.148,-1.38,0.143294432
0.148,-1.4,0.143296664
0.148,-1.42,0.143299571
0.148,-1.44,0.143301811
0.148,-1.46,0.143303591
0.148,-1.48,0.143303087
0.148,-1.5,0.143300735
0.148,-1.52,0.143300239
0.148,-1.54,0.143299096
0.148,-1.56,0.143292786
0.148,-1.58,0.143287504
0.148,-1.6,0.143278995
0.148,-1.62,0.143270649
0.148,-1.64,0.143255552
0.148,-1.66,0.143238854
0.148,-1.68,0.143221293
0.148,-1.7,0.143191953
0.148,-1.72,0.143158698
0.148,-1.74,0.143117703
0.148,-1.76,0.143062861
0.148,-1.78,0.14299395
0.148,-1.8,0.142904247
0.148,-1.82,0.142787899
0.148,-1.84,0.142648983
0.148,-1.86,0.142486988
0.148,-1.88,0.142315147
0.148,-1.9,0.14215919
0.148,-1.92,0.142043144
0.148,-1.94,0.141985033
0.148,-1.96,0.141987915
0.148,-1.98,0.142056054
0.148,-2,0.142179476
0.148,-2.02,0.1423439
0.148,-2.04,0.142518301
0.15,0,0.140018048
0.15,-0.02,0.140021951
0.15,-0.04,0.140032953
0.15,-0.06,0.140045563
0.15,-0.08,0.140055146
0.15,-0.1,0.140064988
0.15,-0.12,0.140066145
0.15,-0.14,0.140064203
0.15,-0.16,0.140059482
0.15,-0.18,0.140057762
0.15,-0.2,0.140056032
0.15,-0.22,0.140058641
0.15,-0.24,0.140065305
0.15,-0.26,0.140078923
0.15,-0.28,0.140098602
0.15,-0.3,0.140126758
0.15,-0.32,0.140160206
0.15,-0.34,0.14020803
0.15,-0.36,0.140265765
0.15,-0.38,0.140338899
0.15,-0.4,0.140427375
0.15,-0.42,0.1405354
0.15,-0.44,0.140659785
0.15,-0.46,0.140803985
0.15,-0.48,0.140958848
0.15,-0.5,0.141120637
0.15,-0.52,0.141286445
0.15,-0.54,0.141451614
0.15,-0.56,0.14160991
0.15,-0.58,0.141760461
0.15,-0.6,0.14190269
0.15,-0.62,0.142030023
0.15,-0.64,0.142149621
0.15,-0.66,0.142258787
0.15,-0.68,0.142355593
0.15,-0.7,0.142444545
0.15,-0.72,0.142523213
0.15,-0.74,0.142597304
0.15,-0.76,0.142660917
0.15,-0.78,0.142720151
0.15,-0.8,0.142773976
0.15,-0.82,0.142821645
0.15,-0.84,0.142865402
0.15,-0.86,0.142906078
0.15,-0.88,0.142942583
0.15,-0.9,0.142975411
0.15,-0.92,0.143005949
0.15,-0.94,0.143033042
0.15,-0.96,0.143057352
0.15,-0.98,0.143078804
0.15,-1,0.143101691
0.15,-1.02,0.143121413
0.15,-1.04,0.143138819
0.15,-1.06,0.143156803
0.15,-1.08,0.143170021
0.15,-1.1,0.14318462
0.15,-1.12,0.143198961
0.15,-1.14,0.143213281
0.15,-1.16,0.143221372
0.15,-1.18,0.143231895
0.15,-1.2,0.143240364
0.15,-1.22,0.143249001
0.15,-1.24,0.143258047
0.15,-1.26,0.143264609
0.15,-1.28,0.143270355
0.15,-1.3,0.143277948
0.15,-1.32,0.143283039
0.15,-1.34,0.143287707
0.15,-1.36,0.143291821
0.15,-1.38,0.143294722
0.15,-1.4,0.143296543
0.15,-1.42,0.14330053
0.15,-1.44,0.143301416
0.15,-1.46,0.143301468
0.15,-1.48,0.143303756
0.15,-1.5,0.143301437
0.15,-1.52,0.143301326
0.15,-1.54,0.143298011
0.15,-1.56,0.143291467
0.15,-1.58,0.143288071
0.15,-1.6,0.14328063
0.15,-1.62,0.143269826
0.15,-1.64,0.143256967
0.15,-1.66,0.14324318
0.15,-1.68,0.143221153
0.15,-1.7,0.143196978
0.15,-1.72,0.143163948
0.15,-1.74,0.143122017
0.15,-1.76,0.143066446
0.15,-1.78,0.142998192
0.15,-1.8,0.14291239
0.15,-1.82,0.142803293
0.15,-1.84,0.142669222
0.15,-1.86,0.142513493
0.15,-1.88,0.142353875
0.15,-1.9,0.142207132
0.15,-1.92,0.142098954
0.15,-1.94,0.142046148
0.15,-1.96,0.142048339
0.15,-1.98,0.142113413
0.15,-2,0.14222704
0.15,-2.02,0.142380462
0.15,-2.04,0.142544765
0.152,0,0.140063266
0.152,-0.02,0.140068865
0.152,-0.04,0.140077486
0.152,-0.06,0.140088238
0.152,-0.08,0.140101164
0.152,-0.1,0.140107156
0.152,-0.12,0.140109785
0.152,-0.14,0.140107273
0.152,-0.16,0.140105689
0.152,-0.18,0.140101734
0.152,-0.2,0.140098088
0.152,-0.22,0.140103032
0.152,-0.24,0.140111114
0.152,-0.26,0.140122958
0.152,-0.28,0.140145387
0.152,-0.3,0.140169696
0.152,-0.32,0.140206977
0.152,-0.34,0.140250583
0.152,-0.36,0.140311249
0.152,-0.38,0.140382098
0.152,-0.4,0.14047154
0.152,-0.42,0.140577117
0.152,-0.44,0.140700678
0.152,-0.46,0.140837685
0.152,-0.48,0.140989794
0.152,-0.5,0.141148193
0.152,-0.52,0.141311735
0.152,-0.54,0.14147113
0.152,-0.56,0.141627841
0.152,-0.58,0.141775917
0.152,-0.6,0.141911779
0.152,-0.62,0.142040735
0.152,-0.64,0.142157194
0.152,-0.66,0.142265156
0.152,-0.68,0.142361502
0.152,-0.7,0.142449622
0.152,-0.72,0.142530855
0.152,-0.74,0.142600382
0.152,-0.76,0.142663993
0.152,-0.78,0.142722621
0.152,-0.8,0.142775257
0.152,-0.82,0.142822516
0.152,-0.84,0.142868086
0.152,-0.86,0.142907
0.152,-0.88,0.142942848
0.152,-0.9,0.142974584
0.152,-0.92,0.143005057
0.152,-0.94,0.143033908
0.152,-0.96,0.143059942
0.152,-0.98,0.143082238
0.152,-1,0.143102617
0.152,-1.02,0.143121018
0.152,-1.04,0.143141726
0.152,-1.06,0.143155066
0.152,-1.08,0.14317175
0.152,-1.1,0.143186541
0.152,-1.12,0.143200332
0.152,-1.14,0.143209999
0.152,-1.16,0.143221605
0.152,-1.18,0.143231687
0.152,-1.2,0.143241812
0.152,-1.22,0.143249469
0.152,-1.24,0.143257811
0.152,-1.26,0.143264521
0.152,-1.28,0.14327243
0.152,-1.3,0.143277014
0.152,-1.32,0.143282995
0.152,-1.34,0.143285724
0.152,-1.36,0.143289496
0.152,-1.38,0.143296277
0.152,-1.4,0.143297849
0.152,-1.42,0.143300135
0.152,-1.44,0.143301749
0.152,-1.46,0.143302427
0.152,-1.48,0.143303013
0.152,-1.5,0.14330381
0.152,-1.52,0.143301776
0.152,-1.54,0.143300086
0.152,-1.56,0.143295327
0.152,-1.58,0.143287403
0.152,-1.6,0.143282658
0.152,-1.62,0.143271936
0.152,-1.64,0.143258359
0.152,-1.66,0.143243142
0.152,-1.68,0.143221547
0.152,-1.7,0.143197748
0.152,-1.72,0.143166916
0.152,-1.74,0.143124531
0.152,-1.76,0.143072226
0.152,-1.78,0.14300566
0.152,-1.8,0.14292187
0.152,-1.82,0.142814967
0.152,-1.84,0.142686621
0.152,-1.86,0.142542572
0.152,-1.88,0.14239061
0.152,-1.9,0.142252385
0.152,-1.92,0.142151635
0.152,-1.94,0.142099969
0.152,-1.96,0.142104214
0.152,-1.98,0.142164703
0.152,-2,0.142272517
0.152,-2.02,0.142416427
0.152,-2.04,0.142571655
0.154,0,0.140109384
0.154,-0.02,0.140111658
0.154,-0.04,0.140122282
0.154,-0.06,0.140131185
0.154,-0.08,0.140143568
0.154,-0.1,0.140147539
0.154,-0.12,0.140150584
0.154,-0.14,0.140151981
0.154,-0.16,0.140147608
0.154,-0.18,0.140144379
0.154,-0.2,0.140143087
0.154,-0.22,0.140147726
0.154,-0.24,0.140153569
0.154,-0.26,0.140169014
0.154,-0.28,0.14018855
0.154,-0.3,0.140216129
0.154,-0.32,0.140250716
0.154,-0.34,0.140296025
0.154,-0.36,0.140354923
0.154,-0.38,0.140423217
0.154,-0.4,0.140512314
0.154,-0.42,0.140617122
0.154,-0.44,0.140739194
0.154,-0.46,0.140872622
0.154,-0.48,0.141018965
0.154,-0.5,0.141174166
0.154,-0.52,0.141333665
0.154,-0.54,0.141492798
0.154,-0.56,0.14164396
0.154,-0.58,0.141791345
0.154,-0.6,0.141926673
0.154,-0.62,0.14205053
0.154,-0.64,0.142168412
0.154,-0.66,0.142271638
0.154,-0.68,0.142367851
0.154,-0.7,0.142453786
0.154,-0.72,0.142533652
0.154,-0.74,0.142603308
0.154,-0.76,0.142667868
0.154,-0.78,0.142725961
0.154,-0.8,0.142779217
0.154,-0.82,0.142826842
0.154,-0.84,0.142869616
0.154,-0.86,0.142909124
0.154,-0.88,0.142946442
0.154,-0.9,0.142976451
0.154,-0.92,0.143007
0.154,-0.94,0.143035209
0.154,-0.96,0.14306023
0.154,-0.98,0.143081222
0.154,-1,0.143104783
0.154,-1.02,0.1431228
0.154,-1.04,0.143141611
0.154,-1.06,0.143157668
0.154,-1.08,0.143175007
0.154,-1.1,0.143187107
0.154,-1.12,0.143200273
0.154,-1.14,0.143213051
0.154,-1.16,0.143221364
0.154,-1.18,0.143233338
0.154,-1.2,0.143241767
0.154,-1.22,0.143250374
0.154,-1.24,0.143256544
0.154,-1.26,0.143265453
0.154,-1.28,0.143271063
0.154,-1.3,0.143277678
0.154,-1.32,0.143283006
0.154,-1.34,0.143286719
0.154,-1.36,0.143292589
0.154,-1.38,0.143295992
0.154,-1.4,0.143299033
0.154,-1.42,0.143301207
0.154,-1.44,0.143302819
0.154,-1.46,0.1433047
0.154,-1.48,0.143303532
0.154,-1.5,0.143303246
0.154,-1.52,0.14330122
0.154,-1.54,0.143299326
0.154,-1.56,0.143296177
0.154,-1.58,0.143289346
0.154,-1.6,0.143281657
0.154,-1.62,0.143272424
0.154,-1.64,0.143260238
0.154,-1.66,0.143245578
0.154,-1.68,0.143223972
0.154,-1.7,0.143199298
0.154,-1.72,0.143167202
0.154,-1.74,0.143129312
0.154,-1.76,0.143077952
0.154,-1.78,0.143010591
0.154,-1.8,0.142930515
0.154,-1.82,0.142827846
0.154,-1.84,0.142707012
0.154,-1.86,0.142567517
0.154,-1.88,0.142425401
0.154,-1.9,0.142295033
0.154,-1.92,0.142200924
0.154,-1.94,0.142152885
0.154,-1.96,0.142157676
0.154,-1.98,0.142212426
0.154,-2,0.1423149
0.154,-2.02,0.142451586
0.154,-2.04,0.142598648
0.156,0,0.14015267
0.156,-0.02,0.140155543
0.156,-0.04,0.140162213
0.156,-0.06,0.140172284
0.156,-0.08,0.140183205
0.156,-0.1,0.14018916
0.156,-0.12,0.140190292
0.156,-0.14,0.140190178
0.156,-0.16,0.140185984
0.156,-0.18,0.140185405
0.156,-0.2,0.140188058
0.156,-0.22,0.14019144
0.156,-0.24,0.140198186
0.156,-0.26,0.14021359
0.156,-0.28,0.14023278
0.156,-0.3,0.140260431
0.156,-0.32,0.140293435
0.156,-0.34,0.140337666
0.156,-0.36,0.140398454
0.156,-0.38,0.14046795
0.156,-0.4,0.140555317
0.156,-0.42,0.140655771
0.156,-0.44,0.140773348
0.156,-0.46,0.140907523
0.156,-0.48,0.141049824
0.156,-0.5,0.141204342
0.156,-0.52,0.141358062
0.156,-0.54,0.141514623
0.156,-0.56,0.141663801
0.156,-0.58,0.141803724
0.156,-0.6,0.141938556
0.156,-0.62,0.142061536
0.156,-0.64,0.142176263
0.156,-0.66,0.142279028
0.156,-0.68,0.142373291
0.156,-0.7,0.142459443
0.156,-0.72,0.142538903
0.156,-0.74,0.142607436
0.156,-0.76,0.142672695
0.156,-0.78,0.14272927
0.156,-0.8,0.142781776
0.156,-0.82,0.142828657
0.156,-0.84,0.142872647
0.156,-0.86,0.142910347
0.156,-0.88,0.14294714
0.156,-0.9,0.14297844
0.156,-0.92,0.143006845
0.156,-0.94,0.143037116
0.156,-0.96,0.143060005
0.156,-0.98,0.143083926
0.156,-1,0.143103861
0.156,-1.02,0.143124445
0.156,-1.04,0.143141563
0.156,-1.06,0.143158424
0.156,-1.08,0.143174135
0.156,-1.1,0.143186033
0.156,-1.12,0.143200388
0.156,-1.14,0.143211449
0.156,-1.16,0.143223212
0.156,-1.18,0.143233313
0.156,-1.2,0.143242617
0.156,-1.22,0.143251449
0.156,-1.24,0.14326027
0.156,-1.26,0.143264122
0.156,-1.28,0.143272209
0.156,-1.3,0.143279686
0.156,-1.32,0.143282389
0.156,-1.34,0.143288473
0.156,-1.36,0.143290773
0.156,-1.38,0.143295661
0.156,-1.4,0.143297601
0.156,-1.42,0.14330183
0.156,-1.44,0.143303654
0.156,-1.46,0.143304114
0.156,-1.48,0.143302226
0.156,-1.5,0.143304152
0.156,-1.52,0.143301351
0.156,-1.54,0.143299156
0.156,-1.56,0.14329435
0.156,-1.58,0.143289019
0.156,-1.6,0.143281751
0.156,-1.62,0.143272625
0.156,-1.64,0.143261193
0.156,-1.66,0.143244759
0.156,-1.68,0.143226196
0.156,-1.7,0.143199398
0.156,-1.72,0.143171348
0.156,-1.74,0.143129793
0.156,-1.76,0.143081441
0.156,-1.78,0.143017971
0.156,-1.8,0.142940715
0.156,-1.82,0.142840816
0.156,-1.84,0.142726445
0.156,-1.86,0.142594143
0.156,-1.88,0.142458666
0.156,-1.9,0.142337557
0.156,-1.92,0.142246394
0.156,-1.94,0.142202601
0.156,-1.96,0.142207721
0.156,-1.98,0.142260111
0.156,-2,0.142356455
0.156,-2.02,0.142484834
0.156,-2.04,0.142620597
0.158,0,0.140192566
0.158,-0.02,0.140197237
0.158,-0.04,0.140203909
0.158,-0.06,0.140215
0.158,-0.08,0.140223472
0.158,-0.1,0.140229635
0.158,-0.12,0.140232664
0.158,-0.14,0.140230821
0.158,-0.16,0.140228028
0.158,-0.18,0.140227294
0.158,-0.2,0.140229549
0.158,-0.22,0.140232399
0.158,-0.24,0.14024131
0.158,-0.26,0.140254627
0.158,-0.28,0.14027427
0.158,-0.3,0.140301509
0.158,-0.32,0.140339251
0.158,-0.34,0.140380124
0.158,-0.36,0.140440184
0.158,-0.38,0.140507929
0.158,-0.4,0.140592114
0.158,-0.42,0.140695469
0.158,-0.44,0.140809023
0.158,-0.46,0.140939206
0.158,-0.48,0.141082253
0.158,-0.5,0.14123083
0.158,-0.52,0.141383679
0.158,-0.54,0.141535283
0.158,-0.56,0.141680848
0.158,-0.58,0.141820559
0.158,-0.6,0.141950724
0.158,-0.62,0.142072855
0.158,-0.64,0.142186116
0.158,-0.66,0.142287102
0.158,-0.68,0.142380585
0.158,-0.7,0.142466719
0.158,-0.72,0.14254224
0.158,-0.74,0.142609992
0.158,-0.76,0.142674034
0.158,-0.78,0.142732059
0.158,-0.8,0.142782749
0.158,-0.82,0.14282949
0.158,-0.84,0.142874145
0.158,-0.86,0.142912291
0.158,-0.88,0.142947428
0.158,-0.9,0.142981187
0.158,-0.92,0.143008123
0.158,-0.94,0.143036721
0.158,-0.96,0.14306236
0.158,-0.98,0.143083603
0.158,-1,0.14310641
0.158,-1.02,0.143123139
0.158,-1.04,0.143141897
0.158,-1.06,0.143157854
0.158,-1.08,0.143173242
0.158,-1.1,0.143186896
0.158,-1.12,0.143200375
0.158,-1.14,0.143210122
0.158,-1.16,0.14322334
0.158,-1.18,0.143234155
0.158,-1.2,0.143245279
0.158,-1.22,0.143251005
0.158,-1.24,0.143259114
0.158,-1.26,0.14326598
0.158,-1.28,0.143272672
0.158,-1.3,0.143277845
0.158,-1.32,0.143284253
0.158,-1.34,0.143288599
0.158,-1.36,0.143291403
0.158,-1.38,0.143295736
0.158,-1.4,0.143298135
0.158,-1.42,0.143301497
0.158,-1.44,0.143303138
0.158,-1.46,0.143304237
0.158,-1.48,0.143304289
0.158,-1.5,0.143304057
0.158,-1.52,0.143301154
0.158,-1.54,0.143299881
0.158,-1.56,0.14329478
0.158,-1.58,0.143291297
0.158,-1.6,0.143282208
0.158,-1.62,0.143274784
0.158,-1.64,0.143262208
0.158,-1.66,0.143244621
0.158,-1.68,0.143228438
0.158,-1.7,0.143202302
0.158,-1.72,0.143173147
0.158,-1.74,0.143133919
0.158,-1.76,0.14308492
0.158,-1.78,0.143024311
0.158,-1.8,0.14294852
0.158,-1.82,0.142855049
0.158,-1.84,0.142741148
0.158,-1.86,0.142616761
0.158,-1.88,0.142489605
0.158,-1.9,0.142374878
0.158,-1.92,0.142291937
0.158,-1.94,0.142249591
0.158,-1.96,0.14225293
0.158,-1.98,0.142303776
0.158,-2,0.142393966
0.158,-2.02,0.142513958
0.158,-2.04,0.142646801
0.16,0,0.140236387
0.16,-0.02,0.140240146
0.16,-0.04,0.140245461
0.16,-0.06,0.140254166
0.16,-0.08,0.140262893
0.16,-0.1,0.140268218
0.16,-0.12,0.140271159
0.16,-0.14,0.140272168
0.16,-0.16,0.1402671
0.16,-0.18,0.140270122
0.16,-0.2,0.140267444
0.16,-0.22,0.140275854
0.16,-0.24,0.140283835
0.16,-0.26,0.140296793
0.16,-0.28,0.140316012
0.16,-0.3,0.14034365
0.16,-0.32,0.140379162
0.16,-0.34,0.14042357
0.16,-0.36,0.140479214
0.16,-0.38,0.140549458
0.16,-0.4,0.14063425
0.16,-0.42,0.140731503
0.16,-0.44,0.140845383
0.16,-0.46,0.140972071
0.16,-0.48,0.141111438
0.16,-0.5,0.141258895
0.16,-0.52,0.141406417
0.16,-0.54,0.141550201
0.16,-0.56,0.141698459
0.16,-0.58,0.141835077
0.16,-0.6,0.141962085
0.16,-0.62,0.142084225
0.16,-0.64,0.142193698
0.16,-0.66,0.142294972
0.16,-0.68,0.142387896
0.16,-0.7,0.142470791
0.16,-0.72,0.142546831
0.16,-0.74,0.142616767
0.16,-0.76,0.142678736
0.16,-0.78,0.142733698
0.16,-0.8,0.142786821
0.16,-0.82,0.142832562
0.16,-0.84,0.142876063
0.16,-0.86,0.14291251
0.16,-0.88,0.142949889
0.16,-0.9,0.142982842
0.16,-0.92,0.143010638
0.16,-0.94,0.143037705
0.16,-0.96,0.143062788
0.16,-0.98,0.143083328
0.16,-1,0.143105729
0.16,-1.02,0.143125746
0.16,-1.04,0.143143182
0.16,-1.06,0.143157736
0.16,-1.08,0.14317498
0.16,-1.1,0.143188526
0.16,-1.12,0.143201674
0.16,-1.14,0.143212852
0.16,-1.16,0.143223091
0.16,-1.18,0.143232111
0.16,-1.2,0.143242624
0.16,-1.22,0.143250293
0.16,-1.24,0.14326029
0.16,-1.26,0.143266392
0.16,-1.28,0.143272707
0.16,-1.3,0.143279337
0.16,-1.32,0.143284451
0.16,-1.34,0.143289352
0.16,-1.36,0.143292592
0.16,-1.38,0.143296828
0.16,-1.4,0.14329804
